

 รายงานการใช้รถ  : 2016-09-29 00:00 
เวลาเริ่ม,สถานที่,เวลาสิ้นสุด,สถานที่,ระยะเวลา (ชม.),ระยะทาง (กม.),น้ำมัน (ลิตร)
09:17,11:28,บางพูน:เมืองปทุมธานี:ปทุมธานี,บ้านใหม่:ปากเกร็ด:นนทบุรี,02:11,9.38,2.68
11:31,12:15,บ้านใหม่:ปากเกร็ด:นนทบุรี,คูคต:ลำลูกกา:ปทุมธานี,00:44,9.45,2.7
13:15,18:23,คูคต:ลำลูกกา:ปทุมธานี,คลองสาม:คลองหลวง:ปทุมธานี,05:07,9.14,2.61143
19:23,20:51,คลองสาม:คลองหลวง:ปทุมธานี,ประชาธิปัตย์:ธัญบุรี:ปทุมธานี,01:28,5.68,1.62286
20:59,21:12,ประชาธิปัตย์:ธัญบุรี:ปทุมธานี,คลองสาม:คลองหลวง:ปทุมธานี,00:13,5.68,1.62286
,,,สรุป,09:43,39.33,11.2371
