

 รายงานการใช้รถ  : 2016-09-29 00:00 
เวลาเริ่ม,สถานที่,เวลาสิ้นสุด,สถานที่,ระยะเวลา (ชม.),ระยะทาง (กม.),น้ำมัน (ลิตร)
09:38,13:18,คูคต:ลำลูกกา:ปทุมธานี,คลองหนึ่ง:คลองหลวง:ปทุมธานี,03:40,17.33,4.95143
13:39,13:56,คลองหนึ่ง:คลองหลวง:ปทุมธานี,คลองหนึ่ง:คลองหลวง:ปทุมธานี,00:16,1.2,0.342857
16:33,18:57,คลองหนึ่ง:คลองหลวง:ปทุมธานี,แสนแสบ:มีนบุรี:กรุงเทพมหานคร,02:23,40.83,11.6657
19:03,21:10,แสนแสบ:มีนบุรี:กรุงเทพมหานคร,แสนแสบ:มีนบุรี:กรุงเทพมหานคร,02:06,2.6,0.742857
21:17,21:27,แสนแสบ:มีนบุรี:กรุงเทพมหานคร,แสนแสบ:มีนบุรี:กรุงเทพมหานคร,00:09,1.08,0.308571
,,,สรุป,08:34,63.04,18.0114
